ID	GSM1329321	GSM1329322	GSM1329323	GSM1329324	GSM1329325	GSM1329326	GSM1329327	GSM1329328	GSM1329329	GSM1329330	GSM1329331	GSM1329332	GSM1329333	GSM1329334	GSM1329335	GSM1329336	GSM1329337	GSM1329338	GSM1329339	GSM1329340	GSM1329341	GSM1329342	GSM1329343	GSM1329344	GSM1329345	GSM1329346	GSM1329347	GSM1329348	GSM1329349	GSM1329350	GSM1329351	GSM1329352	GSM1329353	GSM1329354	GSM1329355	GSM1329356	GSM1329357	GSM1329358	GSM1329359	GSM1329360	GSM1329361	GSM1329362	GSM1329363	GSM1329364	GSM1329365	GSM1329366	GSM1329367	GSM1329368	GSM1329369	GSM1329370	GSM1329371	GSM1329372	GSM1329373	GSM1329374	GSM1329375	GSM1329376	GSM1329377	GSM1329378	GSM1329379	GSM1329380	GSM1329381	GSM1329382	GSM1329383	GSM1329384	GSM1329385	GSM1329386	GSM1329387	GSM1329388	GSM1329389	GSM1329390	GSM1329391	GSM1329392	GSM1329393	GSM1329394	GSM1329395	GSM1329396	GSM1329397	GSM1329398	GSM1329399	GSM1329400	GSM1329401	GSM1329402	GSM1329403	GSM1329404	GSM1329405	GSM1329406	GSM1329407	GSM1329408	GSM1329409	GSM1329410	GSM1329411	GSM1329412	GSM1329413	GSM1329414	GSM1329415	GSM1329416	GSM1329417	GSM1329418	GSM1329419	GSM1329420	GSM1329421	GSM1329422	GSM1329423	GSM1329424	GSM1329425	GSM1329426	GSM1329427	GSM1329428	GSM1329429	GSM1329430	GSM1329431	GSM1329432	GSM1329433	GSM1329434	GSM1329435	GSM1329436	GSM1329437	GSM1329438	GSM1329439	GSM1329440	GSM1329441	GSM1329442	GSM1329443	GSM1329444	GSM1329445	GSM1329446	GSM1329447	GSM1329448	GSM1329449	GSM1329450	GSM1329451	GSM1329452	GSM1329453	GSM1329454	GSM1329455	GSM1329456	GSM1329457	GSM1329458	GSM1329459	GSM1329460
C8orf34	2.690195	2.872756	2.531136	2.884642	2.753044	2.986865	2.741063	2.813633	2.742747	2.839935	2.643325	2.73294	2.73642	2.798733	2.817546	2.644003	2.893415	2.720997	2.658767	2.684784	2.717657	2.654282	2.992638	2.736768	2.767987	2.844577	2.613387	2.699785	2.9162	2.635392	2.716802	2.747508	2.826724	2.598682	2.798733	2.785669	2.790501	2.685576	2.770706	2.861802	2.893889	2.987353	2.677863	2.814279	2.692897	2.800386	2.798031	2.986274	2.786634	2.745141	2.639226	2.641124	2.738224	2.607409	2.76116	2.516587	2.688579	2.759313	2.719694	2.626346	2.977196	2.556476	2.774844	2.776832	2.85319	2.828766	3.003003	2.805414	2.838642	2.747323	2.649447	2.521419	2.622025	2.824013	2.633072	2.569346	2.765312	2.891378	2.663137	2.687509	2.816496	2.677499	2.92507	2.799196	2.865021	2.785513	2.733042	2.649365	2.654159	2.681252	2.719851	2.899469	2.701813	2.517318	2.792525	2.69555	2.707944	2.891227	2.770094	2.616114	2.709219	2.733407	2.838081	2.682756	2.787586	2.518864	2.86145	2.698557	2.690951	2.725278	2.675276	2.653366	2.61743	2.671946	2.680216	2.544994	2.6885	2.68344	2.611986	2.83803	2.825814	2.799311	2.774808	2.679132	2.678123	2.685501	2.570357	2.603341	2.517646	2.793684	2.708714	2.849884	2.916753	2.618566	2.770706	2.709533	2.752003	2.675406	2.79078	2.725907
KRT40	2.70862	2.823156	2.531544	3.000815	2.753044	2.745549	3.157563	2.694222	2.825812	2.89729	2.545115	2.579934	2.970246	2.988387	2.707521	2.652926	2.766362	2.68503	2.698959	2.767269	2.483763	2.73061	2.662353	2.652199	2.727568	2.755451	2.898801	2.885966	2.802763	2.981045	2.793673	2.666832	2.865892	2.776824	2.894418	2.831879	2.731904	2.767856	2.71735	2.910154	2.712121	2.795655	2.714103	2.646989	2.560847	2.564668	2.685497	2.799807	2.717291	2.677656	2.670791	2.89235	2.930907	2.734852	2.76116	2.802895	2.579218	2.669309	2.659909	2.583966	3.026233	2.748053	2.84382	3.108208	2.932386	2.659536	2.803714	2.647335	2.952409	2.703659	2.739459	2.831446	2.830364	2.911878	2.657548	2.896475	2.697326	2.80383	2.845098	2.676198	2.70457	2.607893	2.766365	2.79614	2.700091	2.802645	2.4767	2.833524	2.736768	2.786237	2.678692	2.711795	2.770649	2.852846	2.674712	2.674994	2.638315	2.749841	2.745404	2.891844	2.820329	2.863185	2.819091	2.746501	2.667359	2.844376	2.957107	2.690975	2.642269	2.804501	2.55796	2.849267	2.778735	2.623671	3.079847	2.483563	2.840212	2.552537	2.661214	3.101549	2.865041	2.962502	2.670299	2.610325	2.712637	2.898205	2.728609	2.727835	2.822246	2.543337	2.81667	2.96542	2.847261	2.732133	2.680243	2.800755	2.580533	2.762059	2.782515	2.872752
LOC101929607	2.688195	2.509972	2.546022	2.786086	2.769496	2.641296	2.676586	2.669787	2.830759	2.677678	2.629174	2.710887	2.82568	3.023105	2.766971	2.677659	2.755095	2.647477	2.700331	2.599611	2.637877	2.712896	2.870028	2.530709	2.595522	2.657246	2.501367	2.703241	2.689917	2.67256	2.522353	2.809734	2.619548	2.727835	2.813163	2.772509	2.73407	2.686363	2.758883	2.840256	2.793432	2.733735	2.562785	2.591878	2.607822	2.621207	2.564227	2.708366	2.685827	2.672212	2.657543	2.564126	2.749631	2.552456	2.64192	2.585892	2.58136	2.57523	2.540515	2.564734	2.72191	2.470927	2.554065	2.695988	2.955204	2.651417	2.63451	2.684442	2.547278	2.579963	2.520207	2.747143	2.592228	2.515613	2.634614	2.502028	2.775983	2.603312	2.391017	2.885705	2.674959	2.516807	2.781455	2.426587	2.865336	2.660815	2.6566	2.564193	2.45713	2.66611	2.492359	2.717291	2.737077	2.52247	2.747314	2.652833	2.615244	2.601959	2.543287	2.571808	2.657284	2.734362	2.772663	2.606337	2.810117	2.824339	2.709021	2.501554	2.533081	2.842385	2.605403	2.678238	2.655087	2.925553	2.672271	2.657519	2.587828	2.718498	2.637219	2.763043	2.788301	2.617309	2.803337	2.511366	2.69882	2.471911	2.630327	2.615171	2.703514	2.617772	2.581452	2.696708	2.602608	2.477502	2.540789	2.674592	2.572825	2.495084	2.520501	2.660716
LMOD3	2.66437	2.692885	2.572909	3.067916	2.886192	2.877039	3.082672	2.609162	2.812809	2.685807	2.812835	2.668078	2.753814	3.012799	3.035879	2.931211	2.620376	2.727871	2.698716	2.833338	2.570196	2.763964	2.658613	3.00207	2.777455	2.691564	2.720804	2.659113	2.749488	2.837329	2.848021	2.726933	2.664224	2.608227	2.935242	2.656247	2.662912	2.656052	2.682265	3.077895	2.853433	2.925433	2.81245	2.711725	2.770263	2.81777	2.720272	3.011113	2.53012	2.649768	2.926867	2.66933	2.66249	2.522961	2.633485	2.575278	2.861465	2.759632	2.771899	2.611408	2.691168	2.778466	2.826176	2.814545	2.818324	2.861388	2.922868	2.86887	2.655198	2.78118	2.831305	2.830883	2.64662	2.80245	2.667263	2.804625	2.851467	2.655003	2.612974	2.75916	2.858836	2.714315	2.694881	2.949576	2.75023	3.200875	2.780991	2.717085	2.874846	3.025208	2.775291	2.824941	2.935077	2.577578	2.842304	2.733137	2.866488	2.397614	3.000424	2.813995	2.70735	2.787553	2.916375	2.52918	2.852388	2.863725	2.670366	2.544099	2.799397	2.558263	2.761794	3.074329	2.814237	2.610871	2.925254	2.759079	3.00207	2.569378	2.771162	2.679944	2.668238	2.888909	2.569544	2.519124	2.60855	2.564987	2.832448	2.636277	2.512858	2.714315	2.818217	2.792153	2.828297	2.580873	2.858402	2.625704	2.690237	2.733978	2.74662	2.682353
LOC283788	2.859155	2.870808	2.573992	2.856016	2.749507	2.838969	2.693208	2.837217	2.872892	2.793217	3.299602	3.264074	2.965149	2.701736	2.759562	2.911476	3.058441	2.738587	3.054476	2.757614	2.937681	2.815178	2.812943	2.840171	2.840873	2.846935	2.981	3.02171	2.887997	2.955673	2.991769	2.924474	2.886554	3.094133	3.150095	3.121685	3.522968	2.883883	2.982458	2.812118	2.751537	2.847741	2.813343	2.922513	3.084167	2.777496	2.7693	2.856244	2.681993	3.086599	3.000376	2.88491	2.994189	2.865767	2.813328	2.778256	3.650695	3.981893	3.042053	2.983627	3.126515	3.244196	2.971858	2.713566	2.841255	2.743782	2.764611	2.945912	2.7765	2.881605	2.886264	3.039541	3.841623	4.263153	3.947632	3.052215	2.884722	2.831228	2.933653	2.882919	2.919303	2.856991	2.957819	3.152106	2.87707	3.081522	2.688421	2.962179	2.728373	2.903394	2.980332	2.99936	2.760144	2.781221	2.829077	2.842615	2.924074	2.848167	2.816621	2.86672	2.970991	2.884514	3.029312	2.858603	3.789446	2.993566	3.250325	3.840762	3.016663	3.151639	2.941423	2.841715	2.934819	2.951068	2.814865	2.740109	2.806899	2.812778	2.754726	3.129177	2.957489	3.064959	2.83096	3.449853	3.003404	2.753521	3.011624	2.65732	2.898733	2.977329	2.673634	2.892065	3.03955	3.679659	2.975337	2.959103	2.791419	2.661063	2.992462	2.92169
WDR17	2.850721	3.023273	2.574766	3.197196	2.701732	3.126912	2.944167	3.010666	2.928324	2.990232	3.199714	4.05368	3.492704	2.732805	3.040785	2.785403	2.860425	3.103218	2.478364	2.750124	2.603947	3.017472	3.042316	2.876832	3.077283	2.954286	3.039838	2.803953	2.988582	2.978977	2.971461	3.103611	2.97807	3.22542	3.074271	3.054965	3.108571	3.331306	3.189734	2.943853	2.948719	2.847741	3.003218	3.803724	3.576536	3.816766	3.897592	3.21727	3.606364	3.132624	3.671632	3.122765	2.976619	3.029117	3.157526	3.089761	3.001565	3.13035	3.335015	3.267247	3.183103	3.142937	2.870913	2.997088	3.261029	3.113945	3.117701	3.051861	3.269521	3.443956	3.595996	4.697162	3.102413	3.158253	3.452903	3.187552	2.981291	3.245518	2.885878	3.085279	3.054644	2.902431	3.478416	3.419511	3.410736	2.863529	3.115394	3.239314	3.047914	3.244574	3.066017	3.060544	3.440771	3.299699	3.293835	3.988834	3.55611	3.170741	3.14463	3.897098	3.314979	3.306343	3.355316	2.90194	2.905332	3.095505	3.055839	3.152034	3.384052	3.096156	3.205568	3.135773	3.345539	3.01065	3.268889	2.841579	3.049189	3.081519	2.883811	3.243364	2.880579	2.80971	2.946652	3.14265	2.857729	3.022279	3.048759	3.015069	4.320379	3.023273	3.062691	3.380526	3.111031	3.279855	3.095404	3.721278	3.173347	3.162958	3.122995	2.969618
RAB3IP	2.723726	2.666594	2.583282	2.736666	2.859528	2.560364	2.63848	2.644862	2.645288	2.739099	2.617893	2.813088	2.767974	2.814142	2.885275	2.632896	2.728691	2.773332	2.771569	2.72307	2.653657	2.630422	2.574266	2.51103	2.737077	2.536578	2.737769	2.554558	2.652051	2.634696	2.825611	2.57594	2.559962	2.551822	2.862718	2.604811	2.645745	2.713682	2.740918	2.876925	2.615199	2.522917	2.908109	2.591128	2.641437	2.689898	2.600025	2.738712	2.551205	2.641168	2.550495	2.653338	2.77122	2.66365	2.63734	2.740744	2.631196	2.727901	2.503611	2.818734	2.713341	2.673711	2.597141	2.5868	2.720478	2.732178	2.594128	2.750523	2.826491	2.532663	2.57417	2.601572	2.641236	2.6303	2.527908	2.662336	2.526123	2.524402	2.597172	2.696047	2.608114	2.602452	2.906889	2.49525	2.848039	2.791959	2.72252	2.595511	2.734833	2.699042	2.593528	2.67497	2.84276	2.803207	2.606095	2.705855	2.700969	2.608383	2.600105	2.564654	2.637877	2.644077	2.617518	2.593106	2.807407	2.701432	2.607289	2.668282	2.688792	2.684605	2.685104	2.694891	2.528595	2.677762	2.602877	2.633648	2.661063	2.595564	2.537034	2.55331	2.514994	2.622232	2.662418	2.580386	2.548378	2.702784	2.575857	2.637315	2.548693	2.68344	2.609228	2.667698	2.548978	2.615192	2.641437	2.680294	2.588906	2.679698	2.516529	2.675615
SCN1A	3.095532	3.091184	2.586789	9.54142	9.844067	3.028642	3.003216	2.86329	2.741243	2.976691	2.542821	2.899161	2.828452	9.10151	9.084059	8.790121	9.21266	9.690532	9.378116	9.221953	9.330347	2.97573	2.906969	2.83876	2.846273	2.71576	2.980694	2.724665	2.868699	2.687285	2.91528	3.163369	2.716657	3.161345	2.722782	2.789471	2.83956	2.504796	2.664998	2.972271	3.02478	3.040866	4.604521	2.928159	2.91581	2.904783	2.858226	2.847391	2.778884	2.869373	2.881313	3.143265	2.878511	2.787873	2.721144	2.933336	2.756312	3.152171	2.879053	2.757521	3.145841	2.880165	2.807346	2.908486	2.914783	2.737067	3.017135	3.018334	2.807312	2.934349	2.740352	2.795877	2.954815	2.758546	2.852396	2.906263	2.930314	2.885544	2.992812	2.879063	2.803972	2.867085	3.258036	2.969752	2.791801	3.249887	3.036666	2.853602	2.978554	2.938928	2.966286	2.838573	2.845864	3.075076	2.801997	3.033672	2.798633	2.892812	3.003433	2.741874	2.772026	2.906691	2.829672	2.821592	2.78893	2.758875	2.8177	2.797194	2.820655	2.932017	2.931414	2.909113	2.90065	2.918719	2.879158	2.902034	2.867399	3.26515	2.932598	3.077812	2.751205	2.998158	2.774808	2.710381	3.023466	9.215666	2.754598	3.014687	2.823071	2.791097	2.817459	2.796215	2.739227	2.95432	2.768503	2.871196	2.971864	2.986148	2.782796	3.038149
TOP1P2	2.975767	2.593188	2.603498	2.887847	3.122271	2.600478	2.811951	2.847028	2.916701	3.067817	3.057775	2.908677	2.955671	3.033081	2.827562	3.069145	2.914605	2.820876	2.810724	3.042176	2.980685	2.931447	2.834437	2.930746	2.795888	2.909372	3.209703	2.860806	2.998071	2.754239	2.842752	2.801456	2.915786	2.972906	2.99769	2.825794	2.990393	2.765197	2.988372	2.945674	2.852368	3.182711	2.700187	2.955444	2.780443	2.880596	2.777401	2.816381	3.014203	2.832717	2.989308	2.752464	2.927959	3.123643	2.983238	3.104793	2.875079	2.943643	2.837004	3.054548	3.304315	2.961674	2.953693	3.015023	2.966451	2.892998	3.227803	2.904347	2.965071	2.987099	2.869843	2.532295	2.960354	2.600063	2.805331	2.904072	3.008473	3.061015	3.005	3.269373	2.730282	2.878305	3.189458	3.033094	3.255903	2.899625	2.938284	3.044434	2.854559	3.049083	2.82689	2.68344	2.947745	2.847826	2.963562	2.854227	2.794423	2.903725	2.982615	2.721793	2.958964	2.832979	2.893577	2.721864	2.908971	2.873368	3.066505	2.951096	2.820209	3.219227	3.021975	2.984169	2.952173	2.80556	2.727551	2.785184	2.720769	3.132376	3.04182	3.227803	3.107041	2.836978	3.02946	2.795888	3.039546	3.040186	3.007727	3.127009	2.67938	2.686883	3.02128	2.963467	3.087311	2.849386	2.959635	2.885432	3.055964	3.004694	3.283587	2.94266
ZNF780B	2.624068	2.613488	2.605217	2.670694	3.024577	2.542852	2.594191	2.624851	2.678881	2.788242	2.86389	2.620182	2.699643	2.524891	2.639382	2.767209	2.767563	2.688722	2.810411	2.72808	3.134014	2.590481	2.796438	2.594564	2.676825	2.762073	2.813362	2.618182	2.924068	2.559126	2.633368	2.592994	2.628628	2.661982	2.950052	2.611082	2.649187	2.761908	2.701439	2.91231	2.539986	2.687239	2.868284	2.718248	2.568899	2.848878	3.031222	2.68344	2.620486	2.811685	2.847337	2.790228	2.979839	2.672654	2.793801	3.049351	2.723612	3.04098	2.775241	2.804586	2.795869	2.74119	2.765927	2.89187	2.64886	2.694361	2.712148	2.726486	2.715352	2.673181	2.72252	2.770551	2.684353	2.826491	2.65029	2.68865	2.717602	2.774503	2.674711	2.914305	2.899525	3.056764	3.150103	2.696546	2.685827	2.541761	2.952099	2.662885	2.870158	2.936424	2.768929	2.750003	2.69163	2.910967	2.583604	2.661578	2.760935	2.722556	2.752232	2.537915	2.600501	2.81001	2.802731	2.729476	2.739571	2.989238	2.885592	2.629437	2.794871	2.69055	2.893661	2.883698	2.785797	2.904268	2.816986	2.906769	2.653744	2.749237	2.653859	2.966843	2.693035	2.734622	2.670444	2.723391	2.775802	2.61522	2.623714	2.469442	2.61637	2.619548	2.75587	2.981594	2.704573	2.937742	2.738001	2.904798	2.702862	2.92669	2.684109	2.800294
