threshold,mcc,f1,sensitivity,specificity,balanced_accuracy
0.01,0.0,0.5185185185185185,1.0,0.0,0.5
0.02,0.0,0.5185185185185185,1.0,0.0,0.5
0.03,0.0,0.5185185185185185,1.0,0.0,0.5
0.04,0.0,0.5185185185185185,1.0,0.0,0.5
0.05,0.0,0.5185185185185185,1.0,0.0,0.5
0.060000000000000005,0.0,0.5185185185185185,1.0,0.0,0.5
0.06999999999999999,0.0,0.5185185185185185,1.0,0.0,0.5
0.08,0.0,0.5185185185185185,1.0,0.0,0.5
0.09,0.0,0.5185185185185185,1.0,0.0,0.5
0.09999999999999999,0.0,0.5185185185185185,1.0,0.0,0.5
0.11,0.0,0.5185185185185185,1.0,0.0,0.5
0.12,0.0,0.5185185185185185,1.0,0.0,0.5
0.13,0.0,0.5185185185185185,1.0,0.0,0.5
0.14,0.0,0.5185185185185185,1.0,0.0,0.5
0.15000000000000002,0.0,0.5185185185185185,1.0,0.0,0.5
0.16,0.0,0.5185185185185185,1.0,0.0,0.5
0.17,0.0,0.5185185185185185,1.0,0.0,0.5
0.18000000000000002,0.0,0.5185185185185185,1.0,0.0,0.5
0.19,0.0,0.5185185185185185,1.0,0.0,0.5
0.2,0.0,0.5185185185185185,1.0,0.0,0.5
0.21000000000000002,0.0,0.5185185185185185,1.0,0.0,0.5
0.22,0.0,0.5185185185185185,1.0,0.0,0.5
0.23,0.0,0.5185185185185185,1.0,0.0,0.5
0.24000000000000002,0.0,0.5185185185185185,1.0,0.0,0.5
0.25,0.0,0.5185185185185185,1.0,0.0,0.5
0.26,0.0,0.5185185185185185,1.0,0.0,0.5
0.27,0.0,0.5185185185185185,1.0,0.0,0.5
0.28,0.0,0.5185185185185185,1.0,0.0,0.5
0.29000000000000004,0.0,0.5185185185185185,1.0,0.0,0.5
0.3,0.0,0.5185185185185185,1.0,0.0,0.5
0.31,0.0,0.5185185185185185,1.0,0.0,0.5
0.32,0.0,0.5185185185185185,1.0,0.0,0.5
0.33,0.0,0.5185185185185185,1.0,0.0,0.5
0.34,0.0,0.5185185185185185,1.0,0.0,0.5
0.35000000000000003,0.0,0.5185185185185185,1.0,0.0,0.5
0.36000000000000004,0.0,0.5185185185185185,1.0,0.0,0.5
0.37,0.0,0.5185185185185185,1.0,0.0,0.5
0.38,0.0,0.5185185185185185,1.0,0.0,0.5
0.39,0.0,0.5185185185185185,1.0,0.0,0.5
0.4,0.0,0.5185185185185185,1.0,0.0,0.5
0.41000000000000003,0.0,0.5185185185185185,1.0,0.0,0.5
0.42000000000000004,0.0,0.5185185185185185,1.0,0.0,0.5
0.43,0.0,0.5185185185185185,1.0,0.0,0.5
